Condición_unmapped
""". [hija ]"""
""". [hija ]"","
""". [hija ]"", "" de id. [Chapa]"""
""". [hija ]"", "" de id. [Pampamarca]"""
""". [hijo ]"","
""". [hijo ]"", "" de id. [Aucara]"""
""". [hijo ]"", "" de id. [Chacralla]"""
""". [hijo ]"", "" de id. [Pampamarca]"""
""". [hijo ]"", de Aucara"
"""h. "","
"""hija [sic]"""
"""hija [sic]"","
"""hija [sic]"", ""inda. []"""
"""hija de Daniel Romero [padre] y de Clara Acharte [madre]"", "" de Aucara"""
"""hija de Estévan Ramos [su padre] y de Josefa Chinchay [su madre]"", "" de Aucara"""
"""hija lejma. []"""
"""hijo "","
"""hijo "", ""indijina [sic]"""
"""hijo [sic]"""
"""hijo [sic]"","
"""hijo adoptivo de padre"", "" de Chipao"""
"""hijo de Carmelon Lopez y, de Fuljencia Roda"""
"""hijo de Daniel Romero [su padre] y de Dionicia N. [su madre"""
"""hijo desconocido, y espuesto a las puertas de su padrino"", "" de id. [Chacralla]"""
"""hijo lejmo. []"""
"""hijo létimo []"", ""indíjino [sic]"""
", hija"
", hijo"
-
. Hija
. Hijo
/Hijo
Expuesto
Hija
Hija (sic)
"Hija ,"
"Hija , ""in. b."" [ blanco]"
"Hija , Mellisa"
"Hija , blanca"
"Hija , forastero"
"Hija , gemela"
"Hija , indigna"
"Hija , vesina"
Hija de padre no conocido
Hija no conocida
Hijo
"Hijo ,"
"Hijo , blanco"
"Hijo , de las punas"
"Hijo , indigna"
"Hijo , mestiso"
"Hijo , vesino"
Hijo /
Hijo asporio (sic)
Hijo de padre noconocido
Hijo no conocido
"Hijo,"
[ilegible]
de Aucara. Hija
de Aucara. Hijo
de Chacralla. Hija
de Chacralla. Hijo
de Chaupicancha. Hija
de Huanacopampa. Hijo
de Huanca. Hijo
de Huaycahuacho. Hijo
de Ishua. Hija
de Ishua. Hija legigtima
de Ishua. Hijo
de Pampamarca. Hija
de Pampamarca. Hijo
de Puquio. Hijo
de San Juan. Hija
"de Urabamba, Hijo"
de Visvicha. Hijo
de la doctrina de Aucara. Hijo
de la puna. Hijo
de las punas de Aucara. Hija
de las punas de Aucara. Hijo
de las punas de Huanacopampa. Hija
hija
"hija ,"
"hija , "" [sic]"""
"hija , "" de Aucara y Ayacucho"""
"hija , "" de Aucara"""
"hija , "" de Cabana"""
"hija , "" de Ccaralla"""
"hija , "" de Chacralla"""
"hija , "" de Chapa"""
"hija , "" de Chihuire"""
"hija , "" de Ishua"""
"hija , "" de Mayo"""
"hija , "" de Pampamarca"""
"hija , "" de Tallcce"""
"hija , """""
"hija , ""[espa]ñola de Aucara"""
"hija , ""[in]díjina [sic]"""
"hija , ""espl. []"""
"hija , ""inda. []"""
"hija , ""indijena [sic]"""
"hija , ""indijina [sic]"""
"hija , ""indios [sic]"""
"hija , ""indios de Pampamarca"""
"hija , ""indígina [sic]"""
"hija , ""indíjina [sic]"""
"hija , ""yndijena [sic]"""
"hija , ""índijena [sic]"""
"hija , ,"
"hija , , ""indígina [sic]"""
"hija , , [in]dia"
"hija , gemelos"
"hija , i[n]dia"
"hija , indigena"
"hija , indigena,"
"hija , neta"
"hija , señorita"
hija .
"hija [?], ""indijena [sic]"""
"hija adoptiva, "" de Aucara"""
hijas
hijo
"hijo ,"
"hijo , "" de Aucara"""
"hijo , "" de Ccaralla"""
"hijo , "" de Chacralla"""
"hijo , "" de Chapa"""
"hijo , "" de Ishua"""
"hijo , "" de Mayo"""
"hijo , "" de Pampamarca"""
"hijo , "" de Pincocalla"""
"hijo , "" de Tallcce"""
"hijo , "" de id. [Chacralla]"""
"hijo , """""
"hijo , ""espñl. []"""
"hijo , ""indigino [sic]"""
"hijo , ""indijena [sic]"""
"hijo , ""indijina [sic] de Ishua"""
"hijo , ""indijina [sic]"""
"hijo , ""indijino [sic]"""
"hijo , ""indios [sic]"""
"hijo , ""indios de Cangallo y Aucara"""
"hijo , ""indo. [] de Chacralla [sic]"""
"hijo , ""indo. []"""
"hijo , ""inds. [indios] Ishua"""
"hijo , ""indígino [sic] de Ishua"""
"hijo , ""indígino [sic]"""
"hijo , ""indíjena [sic]"""
"hijo , ""indíjina [sic]"""
"hijo , ""indíjino [sic]"""
"hijo , ""yndígino [sic]"""
"hijo , ""índijena [sic]"""
"hijo , ,"
"hijo , , ""indijena [sic]"""
"hijo , , ""indíjino [sic]"""
"hijo , , [in]dio"
"hijo , [?]"
"hijo , [esp]añol"
"hijo , [in]dio"
"hijo , blanco"
"hijo , contribuyente"
"hijo , de la Puna"
"hijo , neto"
hijo .
"hijo adoptivo, "" de Pampamarca"""
hijo adultero
hijo y
"hijo,"
hijo.
hijos
"hijos legítimos, españoles, mellizos"
"hijos legítimos, gemelos"
¿hija ?
